SpotifyTrack,SpotifyArtist,uri,year,genre,release_date,popular,key,explicit,mode,chartrank,acousticness,danceability,energy,duration_ms,instrumentalness,valence,tempo,liveness,loudness,speechiness,time_signature
Born 2 Groove,Euge Groove,spotify:track:0l6J2OncBZqcIq6dpq2VOg,2007,Jazz,1/1/2007,1,2,0,1,2,0.219,0.681,0.757,257000,0.877,0.671,172.01,0.0479,-6.976,0.0697,4
Hypnotic,Boney James /and/ George Benson,spotify:track:0nizN4WJtySqXFXsWNYmwC,2007,Jazz,1/1/2006,1,7,0,0,3,0.356,0.592,0.802,252467,0.635,0.87,87.983,0.127,-7.563,0.0307,4
Let's Take A Ride,Norman Brown,spotify:track:4z88WWtBj5P5CSUBfbFEB5,2007,Jazz,1/1/2007,1,7,0,0,4,0.428,0.628,0.796,299067,0.81,0.899,102.984,0.185,-6.247,0.0296,4
Way Up,Wayman Tisdale,spotify:track:2Gm0lk91ZTbaDY2XBjVQtg,2007,Jazz,11/22/2011,1,5,0,0,5,0.247,0.655,0.617,247014,0.735,0.7,103.988,0.0785,-13.863,0.0356,4
Ready for Love,Walter Beasley,spotify:track:1DN4Z87lHhE1PnDla3bBPG,2007,Jazz,1/1/2008,1,7,0,0,6,0.609,0.699,0.723,274120,0.829,0.623,101.958,0.0711,-7.088,0.0256,4
Mister Magic,Peter White,spotify:track:3zo1s72adfEB6MlpG9tj2S,2007,Jazz,2006,1,5,0,1,7,0.0629,0.807,0.695,218493,0.859,0.923,98.971,0.31,-5.744,0.029,4
Good To Go,Chuck Loeb,spotify:track:7BjfRhdjN3mRAzq1ztQVA4,2007,Jazz,1/1/2009,1,0,0,0,8,0.409,0.818,0.644,320347,0.186,0.895,114.966,0.0682,-9.08,0.037,4
Give Me The Reason,Kirk Whalum,spotify:track:2I35FEerTdRtyc50Ng5cwm,2007,Jazz,6/20/2005,1,5,0,0,9,0.107,0.799,0.631,243600,0.327,0.896,133.914,0.0615,-5.874,0.0359,4
Black River,Keiko Matsui,spotify:track:3EVGNvQc8eLHIllTOjJM73,2007,Jazz,1/1/2008,1,4,0,0,10,0.149,0.682,0.652,270053,0.894,0.313,111.022,0.0983,-8.624,0.039,4
Girl In The Red Dress,Gregg Karukas,spotify:track:7IGXCoBk68O6Yrt65WFPIL,2007,Jazz,1/1/2005,1,5,0,0,11,0.318,0.756,0.531,296227,0.713,0.838,119.991,0.0929,-11.627,0.0403,4
Save Room,John Legend,spotify:track:3sTc75CCyIw4FPs6cXkOe7,2007,Jazz,10/24/2006,1,7,0,1,12,0.0457,0.69,0.572,235667,0,0.375,111.919,0.0969,-6.131,0.0264,4
R n R,Rick Braun/Richard Elliot,spotify:track:17D5BA7FvTeWADHFtt7lI6,2007,Jazz,8/28/2007,1,2,0,1,13,0.181,0.806,0.908,260427,0.718,0.921,101.975,0.0153,-5.203,0.0573,4
Cantaloupe Island,Brian Bromberg /and/ Gannin Arnold /and/ Rick Braun /and/ Vinnie Colaiuta /and/ George Duke /and/ Boney James /and/ Jeff Lorber,spotify:track:6ceDcecv9HNJCPyPot9ln3,2007,Jazz,2/20/2007,1,1,0,1,14,0.46,0.729,0.544,452733,0.257,0.51,123.947,0.111,-8.996,0.0301,4
Bloom,Mindi Abair,spotify:track:3mnszAwWjALgVMTzT1UHSI,2007,Jazz,1/1/2006,1,7,0,1,15,0.00587,0.631,0.678,283107,0.00934,0.235,111.959,0.139,-4.917,0.0281,4
So Not Over You (Radio Edit),Simply Red,spotify:track:6arZOsLI27ydn9dmUc3tk0,2007,Jazz,2005,1,10,0,1,16,0.69,0.658,0.606,214267,0,0.625,77.006,0.153,-6.156,0.0369,4
Got To Give It Up,Kim Waters,spotify:track:3xagdStXSVp9qbj6ngkksA,2007,Jazz,6/20/2005,1,2,0,1,17,0.00456,0.823,0.823,267227,0.672,0.967,121.5,0.334,-5.666,0.0335,4
Ladies' Choice,Paul Taylor,spotify:track:4GNSagT8HuunoJootzLevF,2007,Jazz,1/1/2007,1,5,0,0,18,0.249,0.83,0.679,296867,0.643,0.834,102.96,0.246,-5.587,0.0331,4
Trouble Sleeping,Corinne Bailey Rae,spotify:track:7m8PDR3PRg5lPhWMdYrktc,2007,Jazz,1/1/2006,1,5,0,0,20,0.14,0.636,0.55,208733,0,0.535,90.97,0.0763,-6.905,0.0237,4
Thinking About You,Norah Jones,spotify:track:0suRVpl5fIZVm7PuROSRsQ,2007,Jazz,1/24/2007,1,8,0,1,21,0.605,0.65,0.299,197280,0.0118,0.294,123.597,0.219,-10.76,0.03,4
Mornin',George Benson /and/ Al Jarreau,spotify:track:6zDl8rSHFZgmnv8jeg1xFy,2007,Jazz,1/1/2006,1,2,0,1,23,0.58,0.735,0.758,302027,0.105,0.9,89.991,0.0783,-7.631,0.042,4
Noodle Soup,Four80East,spotify:track:1yAGvQwKfr9hZF8qlaEhEO,2007,Jazz,4/24/2007,1,0,0,0,24,0.471,0.705,0.678,254080,0.85,0.603,110.035,0.257,-9.921,0.0384,4
Dressed To Chill,Marion Meadows,spotify:track:5yEoj9jfZcq2i31RfGIGUk,2007,Jazz,5/23/2006,1,7,0,1,25,0.0944,0.747,0.651,241387,0.0132,0.824,103.001,0.0791,-7.488,0.0263,4
The Total Experience,Boney James /and/ George Duke,spotify:track:3lAEcWkOJQMx4jzFToxvQq,2007,Jazz,1/1/2006,1,0,0,1,26,0.738,0.562,0.765,239453,0.891,0.518,99.987,0.108,-6.031,0.0372,4
Ain't No Woman Like The One I Got,Jeff Golub /and/ Richard Elliot,spotify:track:1PICa2dTwmmHgJOVcyJt4L,2007,Jazz,1/1/2007,1,7,0,1,27,0.261,0.74,0.5,249680,0.137,0.614,95.002,0.0918,-7.88,0.0306,4
Slammin',Jay Soto,spotify:track:7HKFBpITzQhxaGvAQ8loZM,2007,Jazz,6/1/2007,1,5,0,0,28,0.335,0.725,0.942,217107,0.231,0.961,94.984,0.0797,-3.26,0.035,4
Beat Street,David Benoit,spotify:track:15Jshtfmn4cgdnbgvDVng7,2007,Jazz,6/27/2006,1,7,0,0,29,0.149,0.806,0.831,254613,0.892,0.856,112.838,0.162,-4.745,0.0343,4
Raincoat,Kelly Sweet,spotify:track:5aRNDNKCU7vPlyPPzhOPN1,2007,Jazz,3/6/2007,1,2,0,1,30,0.69,0.467,0.311,230027,0.0000417,0.262,185.87,0.104,-11.08,0.0326,4
Tequila Moon,Jessy J,spotify:track:4qkdBTRPwojWnqGcUSVQ3Z,2008,Jazz,3/4/2008,1,2,0,0,1,0.688,0.631,0.437,276333,0.577,0.636,95.242,0.118,-11.137,0.0344,4
Window of the Soul,Chuck Loeb,spotify:track:32eDGGkGf1lcJ8aWrjGhFO,2008,Jazz,5/9/2018,1,4,0,0,2,0.453,0.773,0.511,247333,0.903,0.86,90.058,0.0428,-10.256,0.0731,4
Sax-o-loco,Kenny G,spotify:track:0Wueq6uMn3fM7gOKONjWEa,2008,Jazz,1/1/2008,1,5,0,1,3,0.198,0.755,0.626,313267,0.0376,0.862,135.015,0.0397,-7.025,0.029,4
Lucky Star,Paul Hardcastle,spotify:track:3tkhFbObwCW3De2kSPKvl3,2008,Jazz,2/4/2008,1,0,0,0,4,0.229,0.689,0.491,228760,0.836,0.775,112.981,0.0963,-17.094,0.0327,4
Pop's Cool Groove,Norman Brown,spotify:track:1ABAAlwDD1HW3pGCA7ReUJ,2008,Jazz,1/1/2007,1,9,0,0,5,0.42,0.88,0.619,263960,0.25,0.961,114.011,0.0929,-7.476,0.0304,4
Mr. Groove,Euge Groove,spotify:track:16hiBwYiCd0crSiBtCXsMN,2008,Jazz,1/1/2007,1,1,0,1,6,0.093,0.695,0.801,301240,0.445,0.623,91.016,0.0483,-6.778,0.0331,4
Fallin' For You,The Sax Pack,spotify:track:0SVbfYhf0JcFKO88DrpevV,2008,Jazz,3/17/2008,1,8,0,1,7,0.0511,0.742,0.754,213453,0.879,0.609,115.062,0.322,-5.873,0.0301,4
Always Remember,Brian Culbertson,spotify:track:76PFv13Cn2Qhe8rPXyUtDy,2008,Jazz,1/1/2008,1,1,0,1,8,0.031,0.739,0.767,262987,0.185,0.894,118.004,0.156,-6.61,0.0325,4
Love and Paragraphs,Chris Standring,spotify:track:3XZm16nGEo5XllEOhFQXBg,2008,Jazz,1/1/2008,1,7,0,1,9,0.111,0.797,0.551,231507,0.849,0.942,120.018,0.0644,-7.058,0.0424,4
Let It Go,Boney James,spotify:track:60mjqabddHz4UPW5vPnd3o,2008,Jazz,1/1/2006,1,1,0,1,10,0.324,0.579,0.718,240920,0.832,0.364,90.012,0.154,-6.726,0.0344,4
L.A. City Lights,Candy Dulfer,spotify:track:4PXpfYuL9UZp2eQwW4icpZ,2008,Jazz,9/18/2007,1,0,0,0,11,0.163,0.74,0.724,225480,0.616,0.81,92.001,0.316,-5.832,0.032,4
Blue Water,Eric Marienthal,spotify:track:0vEHMGB81YJ5QYrIIVExH9,2008,Jazz,1/1/2007,1,2,0,0,12,0.0838,0.689,0.692,250747,0.636,0.652,115.035,0.0947,-7.26,0.0301,4
Old School,Everette Harp,spotify:track:0bNNHf3rEPFb2UrI8tbtNz,2008,Jazz,6/20/2005,1,0,0,1,13,0.256,0.778,0.608,266960,0.624,0.558,102.987,0.113,-8.248,0.0387,4
Venice,Chris Botti,spotify:track:5xHLSTjrySCHh5G40eMSlD,2008,Jazz,9/25/2007,1,2,0,0,14,0.772,0.483,0.217,270373,0.606,0.34,171.832,0.101,-19.727,0.036,4
Ol' Skoolin',Paul Brown /and/ Boney James,spotify:track:67N5woJHqamQQRoGpRmLYr,2008,Jazz,1/1/2007,1,7,0,1,15,0.365,0.76,0.509,265133,0.805,0.826,98.989,0.0396,-8.934,0.0382,4
Caf̩ Mocha,Jesse Cook,spotify:track:60M0FCX59j5zqMPc7L3S8N,2008,Jazz,4/3/2007,1,7,0,0,18,0.168,0.673,0.928,218587,0.883,0.569,105.004,0.233,-5.519,0.0404,4
Goin' All Out,Eric Darius,spotify:track:64bOHAVAipEaL9KSvBIl34,2008,Jazz,1/1/2008,1,5,0,0,19,0.0928,0.708,0.823,251200,0.819,0.935,168.038,0.234,-6.307,0.0914,4
Throwin' It Down,Wayman Tisdale,spotify:track:3hTI3oWassKjRNp9MVCkkq,2008,Jazz,8/6/2013,1,7,0,0,20,0.0741,0.678,0.869,233560,0.674,0.894,104.002,0.131,-8.297,0.0361,4
Slammin',Jay Soto,spotify:track:7HKFBpITzQhxaGvAQ8loZM,2008,Jazz,6/1/2007,1,5,0,0,21,0.335,0.725,0.942,217107,0.231,0.961,94.984,0.0797,-3.26,0.035,4
Life In The Fast Lane,Dave Koz,spotify:track:6bZE2MJEVvw32kJkOFsPkW,2008,Jazz,1/1/2008,1,9,0,0,22,0.00633,0.723,0.852,249840,0.88,0.496,107.948,0.0491,-4.693,0.125,4
Smile,Mindi Abair,spotify:track:2bHuXcujcdW4cXXOhjgbbf,2008,Jazz,1/1/2009,1,10,0,1,23,0.323,0.747,0.675,267240,0.13,0.355,110.035,0.104,-6.042,0.0346,4
Ain't No Woman Like The One I Got,Jeff Golub /and/ Richard Elliot,spotify:track:1PICa2dTwmmHgJOVcyJt4L,2008,Jazz,1/1/2007,1,7,0,1,24,0.261,0.74,0.5,249680,0.137,0.614,95.002,0.0918,-7.88,0.0306,4
Poetry Man,Queen Latifah,spotify:track:143GM5YP6w3DE2wUYysqt2,2008,Jazz,9/25/2007,1,2,0,0,25,0.623,0.489,0.406,279787,0,0.421,133.101,0.0775,-9.122,0.0266,4
Marimba,Paul Hardcastle,spotify:track:5bLYw9OettRvjwVIpWxKPj,2008,Jazz,2/4/2008,1,4,0,0,26,0.097,0.67,0.512,232253,0.946,0.774,107.498,0.0909,-16.052,0.0401,4
(Your Love Keeps Lifting Me) Higher And Higher,Michael McDonald,spotify:track:1ZfeYF6wWyUVeQvCsFZM23,2008,Jazz,1/1/2008,1,0,0,1,27,0.0135,0.661,0.857,182533,0,0.558,96.012,0.137,-4.868,0.0446,4
Between Us,Nyee Moses,spotify:track:3KlP4yURYoSYhqJ8fgJ9Hi,2008,Jazz,1/1/2008,1,9,0,0,30,0.323,0.666,0.86,228546,0.000473,0.711,105.995,0.0934,-6.949,0.0733,4
Steady as She Goes,Walter Beasley,spotify:track:4XxCXDLfu9AkCzaoUTrSYb,2009,Jazz,11/10/2017,1,10,0,0,1,0.235,0.724,0.701,233405,0.0124,0.888,100.008,0.307,-7.5,0.0333,4
I'm Waiting For You,Jackiem Joyner,spotify:track:2Wn7ZtdXyJ9uGBg2j6VvZR,2009,Jazz,4/21/2009,1,3,0,0,2,0.161,0.62,0.788,245227,0.507,0.75,167.996,0.061,-6.358,0.0565,4
Religify,Euge Groove,spotify:track:5FH74SWEJDh3td6j7JQRyN,2009,Jazz,1/1/2007,1,0,0,1,3,0.172,0.759,0.693,276627,0.818,0.674,98.996,0.109,-5.678,0.0277,4
Chill Or Be Chilled,Oli Silk,spotify:track:7zpT0LfNeHx8arSeRTh7NZ,2009,Jazz,10/14/2008,1,2,0,1,4,0.557,0.782,0.455,223667,0.51,0.585,100.025,0.0538,-9.613,0.0303,4
Move On Up,Richard Elliot,spotify:track:4eQcdju6bOEvtRRZx8VcHi,2009,Jazz,5/19/2009,1,5,0,0,5,0.0501,0.712,0.797,275173,0.884,0.814,136.019,0.133,-5.02,0.0413,4
